a1:0.939379275821792 a2:0.9945770065075922 a3:0.9995661605206074 abs_rel:0.086412712931633 rmse:4.284563064575195 log_10:0.03746383637189865 rmse_log:0.11593708395957947 sq_rel:0.38025981187820435 silog:11.11689318542636 weight_abs_rel:0.006357892416417599
a1:0.9687155885591665 a2:0.9930259479910777 a3:0.9982776632690515 abs_rel:0.05877295508980751 rmse:2.595639228820801 log_10:0.025866836309432983 rmse_log:0.0997181162238121 sq_rel:0.20110847055912018 silog:9.96810650042785 weight_abs_rel:0.005197462625801563
a1:0.9665114049933352 a2:0.9972142760862077 a3:0.9989665862900448 abs_rel:0.06426665186882019 rmse:2.627685070037842 log_10:0.027009952813386917 rmse_log:0.09362930059432983 sq_rel:0.1880197376012802 silog:8.504040460982187 weight_abs_rel:0.005174547899514437
a1:0.958878451221779 a2:0.9858448076180671 a3:0.9994566693833198 abs_rel:0.04907366633415222 rmse:2.302510976791382 log_10:0.020679598674178123 rmse_log:0.09651277214288712 sq_rel:0.15317992866039276 silog:9.643228992632286 weight_abs_rel:0.005414222367107868
a1:0.9700829254832479 a2:0.9940891993551854 a3:0.9958900329668734 abs_rel:0.0635899230837822 rmse:3.1444878578186035 log_10:0.027250045910477638 rmse_log:0.10527530312538147 sq_rel:0.251868337392807 silog:9.921071591969282 weight_abs_rel:0.004504505079239607
a1:0.9336279630373644 a2:0.9953997589393331 a3:0.9991161108879067 abs_rel:0.08440893888473511 rmse:2.8169612884521484 log_10:0.03610038384795189 rmse_log:0.1163334771990776 sq_rel:0.25877755880355835 silog:11.356839713674365 weight_abs_rel:0.006371582392603159
a1:0.9247684040483961 a2:0.9928295915339729 a3:0.9992912010022088 abs_rel:0.08680351823568344 rmse:3.680957317352295 log_10:0.035564132034778595 rmse_log:0.12716908752918243 sq_rel:0.3410075008869171 silog:11.686775879991314 weight_abs_rel:0.00898579228669405
a1:0.9539382832363228 a2:0.9966573312855723 a3:0.9999096576023128 abs_rel:0.0791095495223999 rmse:2.599208116531372 log_10:0.03235938400030136 rmse_log:0.10916325449943542 sq_rel:0.22034886479377747 silog:9.608345569010297 weight_abs_rel:0.007297224830836058
a1:0.9514639135715656 a2:0.9923608003579876 a3:0.9974908904941507 abs_rel:0.0640610083937645 rmse:3.9261295795440674 log_10:0.02761263959109783 rmse_log:0.10480092465877533 sq_rel:0.34750989079475403 silog:10.342668973459896 weight_abs_rel:0.004461551085114479
a1:0.8924011532125206 a2:0.9917627677100495 a3:0.9993822075782537 abs_rel:0.07910914719104767 rmse:5.618994235992432 log_10:0.035311825573444366 rmse_log:0.12942688167095184 sq_rel:0.5979843735694885 silog:12.925007203136232 weight_abs_rel:0.004180908203125
a1:0.9412524454405592 a2:0.9823548405477787 a3:0.9969989933332067 abs_rel:0.07090068608522415 rmse:3.348987579345703 log_10:0.02851906232535839 rmse_log:0.1228664293885231 sq_rel:0.32961082458496094 silog:11.89409005910742 weight_abs_rel:0.006982734892517328
a1:0.882187121423912 a2:0.9738607771875873 a3:0.9979731618674867 abs_rel:0.09712384641170502 rmse:6.575893402099609 log_10:0.043234728276729584 rmse_log:0.15477119386196136 sq_rel:0.8931345343589783 silog:15.396452398999003 weight_abs_rel:0.005228795576840639
a1:0.9771398944193062 a2:0.9929927099044746 a3:0.9981460532931121 abs_rel:0.061699919402599335 rmse:2.789400339126587 log_10:0.0263132993131876 rmse_log:0.09271202236413956 sq_rel:0.21211747825145721 silog:8.7635135513761 weight_abs_rel:0.004463654011487961
a1:0.9151056551805837 a2:0.9809717018850602 a3:0.9982674623506241 abs_rel:0.09104516357183456 rmse:3.0475895404815674 log_10:0.036588672548532486 rmse_log:0.13441072404384613 sq_rel:0.28518858551979065 silog:12.367363257055965 weight_abs_rel:0.01077974122017622
a1:0.8671240163618688 a2:0.9599757873690775 a3:0.9942219858025937 abs_rel:0.08938078582286835 rmse:6.200419902801514 log_10:0.03919730335474014 rmse_log:0.16398011147975922 sq_rel:0.9224289655685425 silog:16.28896490713133 weight_abs_rel:0.0046222032979130745
a1:0.8890976622241643 a2:0.9899060519991261 a3:0.9988857330128905 abs_rel:0.0763481929898262 rmse:6.093686580657959 log_10:0.03521228954195976 rmse_log:0.13425345718860626 sq_rel:0.6590798497200012 silog:13.213383561873455 weight_abs_rel:0.0037242386024445295
a1:0.9353191489361702 a2:0.9921349963316214 a3:0.9982391782831989 abs_rel:0.062201350927352905 rmse:2.792815923690796 log_10:0.025156641378998756 rmse_log:0.10513264685869217 sq_rel:0.2481858730316162 silog:9.91697567444199 weight_abs_rel:0.005823890678584576
a1:0.9076886243929133 a2:0.9885765100212053 a3:0.9999315958683904 abs_rel:0.07285401225090027 rmse:3.1865153312683105 log_10:0.029287273064255714 rmse_log:0.11786758899688721 sq_rel:0.3160635828971863 silog:10.887308733188423 weight_abs_rel:0.006747744511812925
a1:0.9319720139474463 a2:0.9960573395018119 a3:0.9999772100549238 abs_rel:0.0957198515534401 rmse:2.7572526931762695 log_10:0.038822270929813385 rmse_log:0.11610997468233109 sq_rel:0.2860926687717438 silog:8.626667322678122 weight_abs_rel:0.007397144101560116
a1:0.9372781430379357 a2:0.9922523690465167 a3:0.9984257801648301 abs_rel:0.06254729628562927 rmse:2.769292116165161 log_10:0.025504373013973236 rmse_log:0.10497869551181793 sq_rel:0.24294236302375793 silog:9.964442421772791 weight_abs_rel:0.005722726695239544
a1:0.9174684877021613 a2:0.994706518878133 a3:0.9993565934548007 abs_rel:0.08539079874753952 rmse:3.2907185554504395 log_10:0.03490531072020531 rmse_log:0.11534859240055084 sq_rel:0.30597811937332153 silog:10.23654358643681 weight_abs_rel:0.0069403136149048805
a1:0.902637967308626 a2:0.9880886874898851 a3:0.9990289690888493 abs_rel:0.07845024019479752 rmse:3.1549367904663086 log_10:0.031014645472168922 rmse_log:0.12638328969478607 sq_rel:0.35618001222610474 silog:11.457542574590017 weight_abs_rel:0.007636017166078091
a1:0.9110848930122808 a2:0.9913122754330456 a3:0.9985788598702204 abs_rel:0.1109810397028923 rmse:3.728339195251465 log_10:0.0449901781976223 rmse_log:0.13673752546310425 sq_rel:0.394583135843277 silog:10.809130927636321 weight_abs_rel:0.009324003010988235
a1:0.928556655340523 a2:0.9920520017727877 a3:0.9996749889200768 abs_rel:0.0627664178609848 rmse:2.793757915496826 log_10:0.02517654374241829 rmse_log:0.10857908427715302 sq_rel:0.25838157534599304 silog:10.220066910290173 weight_abs_rel:0.0061223674565553665
a1:0.9487523415277167 a2:0.9967392058463033 a3:0.9997687380032839 abs_rel:0.08456487953662872 rmse:2.238889217376709 log_10:0.034294676035642624 rmse_log:0.1067974865436554 sq_rel:0.22376273572444916 silog:8.09450760606763 weight_abs_rel:0.006832973100244999
a1:0.9306164183464797 a2:0.9952673093777388 a3:0.9999123575810692 abs_rel:0.06009058281779289 rmse:2.9021353721618652 log_10:0.024512313306331635 rmse_log:0.10172684490680695 sq_rel:0.23206861317157745 silog:9.655868263190541 weight_abs_rel:0.005457120481878519
a1:0.8976110352180722 a2:0.9853396861360078 a3:0.9986672441941825 abs_rel:0.08264462649822235 rmse:3.434701919555664 log_10:0.032794039696455 rmse_log:0.13125750422477722 sq_rel:0.38872775435447693 silog:11.959794808510996 weight_abs_rel:0.00795283354818821
a1:0.9375674703130622 a2:0.9972337171644476 a3:0.9999550197912919 abs_rel:0.09049881994724274 rmse:2.243809461593628 log_10:0.03661414980888367 rmse_log:0.11332020163536072 sq_rel:0.2356782853603363 silog:8.833199819818644 weight_abs_rel:0.007609004620462656
a1:0.9599470911749008 a2:0.9963799224932124 a3:0.9993502424987817 abs_rel:0.051238398998975754 rmse:2.457141637802124 log_10:0.02107282169163227 rmse_log:0.08755702525377274 sq_rel:0.18485502898693085 silog:8.539561411985419 weight_abs_rel:0.004363583400845528
a1:0.9195960322454974 a2:0.9934370223860469 a3:0.9994306092481046 abs_rel:0.08040285855531693 rmse:3.317476272583008 log_10:0.03280118107795715 rmse_log:0.11615678668022156 sq_rel:0.3206864595413208 silog:10.755359749652936 weight_abs_rel:0.006562323309481144
a1:0.9473354231974922 a2:0.9939283946543475 a3:0.9996370235934664 abs_rel:0.06479401141405106 rmse:2.449977397918701 log_10:0.026495421305298805 rmse_log:0.10045511275529861 sq_rel:0.19776414334774017 silog:9.374340830283794 weight_abs_rel:0.006251783575862646
a1:0.9597138554216867 a2:0.9941516064257028 a3:0.9997991967871486 abs_rel:0.06599760055541992 rmse:2.738269805908203 log_10:0.027226706966757774 rmse_log:0.09984082728624344 sq_rel:0.22498629987239838 silog:9.324815738191718 weight_abs_rel:0.005399119574576616
a1:0.934016427217537 a2:0.9953575254786693 a3:0.9995055352580832 abs_rel:0.05835116654634476 rmse:2.556030511856079 log_10:0.023606982082128525 rmse_log:0.10067098587751389 sq_rel:0.21111291646957397 silog:9.760699817391695 weight_abs_rel:0.005534241907298565
a1:0.9425959125134457 a2:0.9944424524919326 a3:0.9987450699175332 abs_rel:0.0642114132642746 rmse:2.288173198699951 log_10:0.02617168426513672 rmse_log:0.10145129263401031 sq_rel:0.20011916756629944 silog:9.546997070703418 weight_abs_rel:0.0062342444434762
a1:0.9588891169026609 a2:0.997765465034088 a3:0.999863191736781 abs_rel:0.05304630845785141 rmse:2.402351140975952 log_10:0.02221851795911789 rmse_log:0.08610427379608154 sq_rel:0.16163907945156097 silog:8.530514688745598 weight_abs_rel:0.004582944791764021
a1:0.9295901903839948 a2:0.9941916747337851 a3:0.9994514359470797 abs_rel:0.0656883642077446 rmse:2.7031447887420654 log_10:0.02659735269844532 rmse_log:0.10474178940057755 sq_rel:0.24495232105255127 silog:9.73170069377922 weight_abs_rel:0.005759878549724817
a1:0.907820561003109 a2:0.9896135843383785 a3:0.9988725272472582 abs_rel:0.07665016502141953 rmse:3.342925548553467 log_10:0.03078281506896019 rmse_log:0.12026925384998322 sq_rel:0.3573608100414276 silog:10.983535655018606 weight_abs_rel:0.006737064104527235
a1:0.9430906243883344 a2:0.9972352710902329 a3:0.9999266001174398 abs_rel:0.052344340831041336 rmse:2.1999244689941406 log_10:0.02131415344774723 rmse_log:0.09053155779838562 sq_rel:0.1627105474472046 silog:8.754563040960942 weight_abs_rel:0.005065009463578463
a1:0.8289883092166873 a2:0.9928707367912274 a3:0.9989124852732381 abs_rel:0.17870104312896729 rmse:3.0595996379852295 log_10:0.07051675021648407 rmse_log:0.17892727255821228 sq_rel:0.5274399518966675 silog:9.334499901999886 weight_abs_rel:0.017627032473683357
a1:0.9158314566177861 a2:0.9690384912926129 a3:0.9925389812443054 abs_rel:0.074674591422081 rmse:4.165050029754639 log_10:0.03389772027730942 rmse_log:0.14589951932430267 sq_rel:0.4819243252277374 silog:14.449708083466046 weight_abs_rel:0.005335577763617039
a1:0.9502753948605753 a2:0.9862782351699387 a3:0.9974475598288138 abs_rel:0.06717558205127716 rmse:3.7415170669555664 log_10:0.030068492516875267 rmse_log:0.11108649522066116 sq_rel:0.3287927508354187 silog:11.07644578013288 weight_abs_rel:0.004186667036265135
a1:0.9425059200445745 a2:0.9959430282769188 a3:0.9990597576264104 abs_rel:0.07415677607059479 rmse:3.0901951789855957 log_10:0.03252773731946945 rmse_log:0.10753411799669266 sq_rel:0.2620433568954468 silog:10.730278073590844 weight_abs_rel:0.005277114454656839
a1:0.9221797008038379 a2:0.9886657023053119 a3:0.9992492629959899 abs_rel:0.07276734709739685 rmse:4.190863609313965 log_10:0.033203016966581345 rmse_log:0.12199707329273224 sq_rel:0.4294183552265167 silog:11.766975022836652 weight_abs_rel:0.003518302459269762
a1:0.9129397027457088 a2:0.9741679926871382 a3:0.993753597183194 abs_rel:0.0869458019733429 rmse:4.303269863128662 log_10:0.03683687746524811 rmse_log:0.1443430483341217 sq_rel:0.5470883250236511 silog:14.357224927423026 weight_abs_rel:0.0062910509295761585
a1:0.9392156111025917 a2:0.9829397331697592 a3:0.9984473240300568 abs_rel:0.06953680515289307 rmse:3.549290418624878 log_10:0.029955513775348663 rmse_log:0.11701317131519318 sq_rel:0.35938096046447754 silog:11.476805587776012 weight_abs_rel:0.005232273135334253
a1:0.9109409723279247 a2:0.9904258881548905 a3:0.997732046637645 abs_rel:0.1088731437921524 rmse:3.718416690826416 log_10:0.044407591223716736 rmse_log:0.1424628049135208 sq_rel:0.5291744470596313 silog:12.57440617521246 weight_abs_rel:0.008715320378541946
a1:0.9381597099682377 a2:0.9894767236677467 a3:0.9965671019281979 abs_rel:0.06637255847454071 rmse:3.532832145690918 log_10:0.02956128865480423 rmse_log:0.11570964008569717 sq_rel:0.33742275834083557 silog:11.570689523607866 weight_abs_rel:0.004600327927619219
a1:0.9776862669986592 a2:0.9958409718991983 a3:1.0 abs_rel:0.061107903718948364 rmse:2.7191808223724365 log_10:0.02726135030388832 rmse_log:0.08771443367004395 sq_rel:0.19124338030815125 silog:8.133388245902847 weight_abs_rel:0.00428925221785903
a1:0.8764482681654931 a2:0.9566381916685267 a3:0.9998782541647221 abs_rel:0.097353994846344 rmse:4.183149337768555 log_10:0.04623185098171234 rmse_log:0.16224059462547302 sq_rel:0.4709908068180084 silog:13.73054003357524 weight_abs_rel:0.00746258394792676
